unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,lat2,lon2
13781028,JJ187404,2025-03-19,015Xx W Division St,1320,Criminal Damage,To Vehicle,Cta Bus,False,False,1424,14,1,24,14,1165576.0,1908074.0,2025,2025-03-27,41.903348344,-87.667243031,41.903348344,-87.667243031
13781296,JJ188670,2025-03-19,023Xx S Millard Ave,0560,Assault,Simple,School - Public Grounds,False,False,1013,10,22,30,08A,1152407.0,1888161.0,2025,2025-03-27,41.848975326,-87.71614173,41.848975326,-87.71614173
13780377,JJ187615,2025-03-19,024Xx N Lakeview Ave,0710,Theft,Theft From Motor Vehicle,Residence,False,False,1935,19,43,7,06,1173155.0,1916582.0,2025,2025-03-27,41.92652984,-87.639151006,41.92652984,-87.639151006
13780604,JJ187536,2025-03-19,074Xx N Olcott Ave,051A,Assault,Aggravated - Handgun,Street,False,False,1611,16,41,9,04A,1125401.0,1948817.0,2025,2025-03-27,42.015913001,-87.813909653,42.015913001,-87.813909653
13780347,JJ187464,2025-03-19,012Xx S Blue Island Ave,0760,Burglary,Burglary From Motor Vehicle,Street,True,False,1232,12,28,28,06,1169188.0,1894425.0,2025,2025-03-27,41.865816799,-87.65437212,41.865816799,-87.65437212
13780658,JJ187455,2025-03-19,0Xx N State St,0860,Theft,Retail Theft,Department Store,False,False,112,1,34,32,06,1176364.0,1900524.0,2025,2025-03-27,41.882394062,-87.627844798,41.882394062,-87.627844798
13780790,JJ187977,2025-03-19,007Xx S Central Ave,1477,Weapons Violation,Reckless Firearm Discharge,Street,False,False,1522,15,29,25,15,1139236.0,1895927.0,2025,2025-03-27,41.870535905,-87.764292337,41.870535905,-87.764292337
13780305,JJ187493,2025-03-19,012Xx W 16Th St,0920,Motor Vehicle Theft,Attempt - Automobile,Street,False,False,1233,12,25,28,07,1168548.0,1892213.0,2025,2025-03-27,41.859760754,-87.656785579,41.859760754,-87.656785579
13780343,JJ187439,2025-03-19,021Xx W Peterson Ave,0860,Theft,Retail Theft,Department Store,True,False,2413,24,40,2,06,1160994.0,1939841.0,2025,2025-03-27,41.990615196,-87.683188577,41.990615196,-87.683188577
13780375,JJ187513,2025-03-19,007Xx W Adams St,0560,Assault,Simple,Other (Specify),False,False,1232,12,34,28,08A,1171210.0,1899327.0,2025,2025-03-27,41.879224117,-87.64680535,41.879224117,-87.64680535
13780389,JJ187537,2025-03-19,006Xx S Leavitt St,0760,Burglary,Burglary From Motor Vehicle,Street,False,False,1225,12,28,28,06,1161821.0,1897253.0,2025,2025-03-27,41.873733795,-87.681337942,41.873733795,-87.681337942
13780340,JJ187481,2025-03-19,002Xx E Huron St,1330,Criminal Trespass,To Land,Hospital Building / Grounds,True,False,1834,18,2,8,26,1178046.0,1905133.0,2025,2025-03-27,41.895003278,-87.62152816,41.895003278,-87.62152816
13780985,JJ188179,2025-03-19,085Xx S State St,0560,Assault,Simple,Street,False,False,632,6,21,44,08A,1177780.0,1848461.0,2025,2025-03-27,41.739496553,-87.624222742,41.739496553,-87.624222742
13784723,JJ189760,2025-03-19,113Xx S Lowe Ave,0610,Burglary,Forcible Entry,Residence - Garage,False,False,2233,22,21,49,05,1174006.0,1829635.0,2025,2025-03-27,41.687919815,-87.638606551,41.687919815,-87.638606551
13780420,JJ187644,2025-03-19,065Xx S Green St,0486,Battery,Domestic Battery Simple,Residence,False,True,723,7,16,68,08B,1171762.0,1861468.0,2025,2025-03-27,41.775323369,-87.645890849,41.775323369,-87.645890849
13781936,JJ189458,2025-03-19,067Xx S Karlov Ave,0920,Motor Vehicle Theft,Attempt - Automobile,Street,False,False,833,8,23,65,07,1150199.0,1859521.0,2025,2025-03-27,41.770426291,-87.724989422,41.770426291,-87.724989422
13780552,JJ187848,2025-03-19,008Xx N Drake Ave,0620,Burglary,Unlawful Entry,Residence,False,False,1121,11,27,23,05,1152563.0,1905361.0,2025,2025-03-27,41.896170931,-87.715114536,41.896170931,-87.715114536
13781768,JJ189224,2025-03-19,002Xx S Hoyne Ave,1365,Criminal Trespass,To Residence,Apartment,False,False,1225,12,27,28,26,1162441.0,1898964.0,2025,2025-03-27,41.878415984,-87.679013713,41.878415984,-87.679013713
13780726,JJ187978,2025-03-19,010Xx W 70Th St,0620,Burglary,Unlawful Entry,Apartment,False,False,733,7,16,68,05,1170759.0,1858407.0,2025,2025-03-27,41.766945553,-87.64965692,41.766945553,-87.64965692
13780295,JJ187473,2025-03-19,011Xx W 63Rd St,0860,Theft,Retail Theft,Small Retail Store,False,False,724,7,16,68,06,1169615.0,1863017.0,2025,2025-03-27,41.77962084,-87.653716607,41.77962084,-87.653716607
13780913,JJ188163,2025-03-19,079Xx S Greenwood Ave,0810,Theft,Over $500,Street,False,False,624,6,8,44,06,1184928.0,1852615.0,2025,2025-03-27,41.750730951,-87.59790382,41.750730951,-87.59790382
13780289,JJ187444,2025-03-19,013Xx W Sunnyside Ave,1153,Deceptive Practice,Financial Identity Theft Over $ 300,Residence,False,False,1913,19,46,3,11,1166200.0,1929992.0,2025,2025-03-27,41.963479179,-87.664322715,41.963479179,-87.664322715
